Readable Timestamp,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Water Temperature_groundtruth,Turbidity_groundtruth,Wave Height_groundtruth,Wave Period_groundtruth
2015-05-21 18:00:00,Montrose Beach,1432231200,12.3,1.02,0.122,7.0,MontroseBeach201505211800,12.3,1.02,0.122,7.0
2015-05-21 18:00:00,63rd Street Beach,1432231200,12.3,1.48,0.131,2.0,63rdStreetBeach201505211800,12.3,1.48,0.131,2.0
2015-05-21 19:00:00,Calumet Beach,1432234800,12.5,1.45,0.095,3.0,CalumetBeach201505211900,12.5,1.45,0.095,3.0
2015-05-21 19:00:00,Montrose Beach,1432234800,12.5,1.02,0.095,6.0,MontroseBeach201505211900,12.5,1.02,0.095,6.0
2015-05-21 19:00:00,63rd Street Beach,1432234800,12.2,1.49,0.104,4.0,63rdStreetBeach201505211900,12.2,1.49,0.104,4.0
2015-05-21 20:00:00,Montrose Beach,1432238400,12.4,0.99,0.106,3.0,MontroseBeach201505212000,12.4,0.99,0.106,3.0
2015-05-21 20:00:00,Calumet Beach,1432238400,12.2,1.34,0.081,3.0,CalumetBeach201505212000,12.2,1.34,0.081,3.0
2015-05-21 20:00:00,63rd Street Beach,1432238400,12.1,1.48,0.092,6.0,63rdStreetBeach201505212000,12.1,1.48,0.092,6.0
2015-05-21 21:00:00,Montrose Beach,1432242000,12.2,0.96,0.084,5.0,MontroseBeach201505212100,12.2,0.96,0.084,5.0
2015-05-21 21:00:00,Calumet Beach,1432242000,12.0,1.26,0.078,3.0,CalumetBeach201505212100,12.0,1.26,0.078,3.0
2015-05-21 21:00:00,63rd Street Beach,1432242000,11.9,1.64,0.091,3.0,63rdStreetBeach201505212100,11.9,1.64,0.091,3.0
2015-05-21 22:00:00,Calumet Beach,1432245600,12.0,1.45,0.079,5.0,CalumetBeach201505212200,12.0,1.45,0.079,5.0
2015-05-21 22:00:00,Montrose Beach,1432245600,12.3,1.0,0.113,3.0,MontroseBeach201505212200,12.3,1.0,0.113,3.0
2015-05-21 22:00:00,63rd Street Beach,1432245600,11.8,1.65,0.107,4.0,63rdStreetBeach201505212200,11.8,1.65,0.107,4.0
2015-05-21 23:00:00,63rd Street Beach,1432249200,11.8,1.69,0.081,4.0,63rdStreetBeach201505212300,11.8,1.69,0.081,4.0
2015-05-21 23:00:00,Montrose Beach,1432249200,12.1,0.97,0.093,9.0,MontroseBeach201505212300,12.1,0.97,0.093,9.0
2015-05-21 23:00:00,Calumet Beach,1432249200,12.1,1.48,0.079,4.0,CalumetBeach201505212300,12.1,1.48,0.079,4.0
2015-05-22 00:00:00,Montrose Beach,1432252800,11.9,0.85,0.085,8.0,MontroseBeach201505220000,11.9,0.85,0.085,8.0
