pattern_name,TP,FP,FN,precision,recall,F1,tolerance_s,confidence_thr,dataset,level,MAE,RMSE,avg_confidence
MontroseToCalumet_AlertSpread_85,14,7,15,0.6666666666666666,0.4827586206896552,0.56,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
MontroseToCalumet_AlertSpread_95,14,7,15,0.6666666666666666,0.4827586206896552,0.56,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighTurbidity_65,184,36,46,0.8363636363636363,0.8,0.8177777777777778,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighTurbidity_75,184,36,46,0.8363636363636363,0.8,0.8177777777777778,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighTurbidity_85,184,36,46,0.8363636363636363,0.8,0.8177777777777778,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighTurbidity_95,184,36,46,0.8363636363636363,0.8,0.8177777777777778,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighWave_65,196,64,95,0.7538461538461538,0.6735395189003437,0.7114337568058077,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighWave_75,196,64,95,0.7538461538461538,0.6735395189003437,0.7114337568058077,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighWave_85,196,64,95,0.7538461538461538,0.6735395189003437,0.7114337568058077,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_HighWave_95,196,64,95,0.7538461538461538,0.6735395189003437,0.7114337568058077,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_LocalAlert_65,75,34,50,0.6880733944954128,0.6,0.641025641025641,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_LocalAlert_75,75,34,50,0.6880733944954128,0.6,0.641025641025641,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_LocalAlert_85,75,34,50,0.6880733944954128,0.6,0.641025641025641,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Montrose_LocalAlert_95,75,34,50,0.6880733944954128,0.6,0.641025641025641,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Regional_TripleAlert_65,17,9,24,0.6538461538461539,0.4146341463414634,0.5074626865671641,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Regional_TripleAlert_75,17,9,24,0.6538461538461539,0.4146341463414634,0.5074626865671641,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
