attribute,mode,Q,R,rmse,norm_rmse
Wave Height,position,0.05,0.05,0.05423655807718334,0.5089813054706245
Wave Height,position,0.05,0.1,0.05569273440506357,0.5226467472802827
Wave Height,position,0.05,0.2,0.05817357219135945,0.5459280929241711
Wave Height,position,0.1,0.01,0.05302477655272971,0.49760937915140874
Wave Height,position,0.1,0.02,0.05311823538148914,0.49848644064565095
Wave Height,position,0.1,0.05,0.053498052981864844,0.5020508271947538
Wave Height,position,0.1,0.1,0.0542368725450586,0.5089842565846949
Wave Height,position,0.1,0.2,0.0556941169996071,0.5226597221961079
Wave Height,position,0.2,0.01,0.05298945068104372,0.49727786459877
Wave Height,position,0.2,0.02,0.05302477951594535,0.4976094069596145
Wave Height,position,0.2,0.05,0.05317348335552265,0.49900491355295024
Wave Height,position,0.2,0.1,0.053498420108612756,0.5020542724843896
Wave Height,position,0.2,0.2,0.054238320260790236,0.5089978426283003
Wave Height,position,0.5,0.01,0.05297305307625382,0.49712398178266876
Wave Height,position,0.5,0.02,0.052983553226731185,0.49722252012077645
Wave Height,position,0.5,0.05,0.053024885577710276,0.4976104022929742
Wave Height,position,0.5,0.1,0.05311874529687849,0.49849122593088574
Wave Height,position,0.5,0.2,0.05336288722451836,0.5007823683163117
Wave Height,position,1.0,0.01,0.052968509864380835,0.49708134615105565
Wave Height,position,1.0,0.02,0.05297306214003405,0.4971240668414346
Wave Height,position,1.0,0.05,0.052989573965131744,0.49727902155448933
Wave Height,position,1.0,0.1,0.053025334386994936,0.4976146141298553
Wave Height,position,1.0,0.2,0.05312032479782093,0.4985060487087348
Wave Height,position,2.0,0.01,0.05296642443573955,0.4970617755103303
Wave Height,position,2.0,0.02,0.052968519731220735,0.4970814387461102
Wave Height,position,2.0,0.05,0.05297563560929548,0.4971482174842982
Wave Height,position,2.0,0.1,0.05299003818797801,0.4972833780394637
Wave Height,position,2.0,0.2,0.053026952319902926,0.49762979757129905
Wave Height,velocity,0.01,0.01,0.07256374344396209,0.680972210946417
Wave Height,velocity,0.01,0.02,0.07182860335736684,0.6740733114910614
Wave Height,velocity,0.01,0.05,0.0713965390513865,0.6700186173456074
Wave Height,velocity,0.01,0.1,0.07134777500741057,0.6695609926798318
Wave Height,velocity,0.01,0.2,0.0715849092710159,0.6717863718583905
Wave Height,velocity,0.05,0.01,0.07421796000148159,0.6964961551793679
Wave Height,velocity,0.05,0.02,0.07363698414718077,0.6910440052042879
Wave Height,velocity,0.05,0.05,0.07256097943943371,0.6809462722312208
Wave Height,velocity,0.05,0.1,0.0718302569824522,0.6740888298846421
Wave Height,velocity,0.05,0.2,0.07147008255247587,0.6707087840619408
Wave Height,velocity,0.1,0.01,0.07456905220020331,0.699790969083149
Wave Height,velocity,0.1,0.02,0.07421660611325996,0.6964834496571346
Wave Height,velocity,0.1,0.05,0.07339695774753947,0.6887914848643544
Wave Height,velocity,0.1,0.1,0.07256405695255855,0.6809751530581653
Wave Height,velocity,0.1,0.2,0.0718458979142675,0.6742356117265651
Wave Height,velocity,0.2,0.01,0.07476229288559277,0.701604430331549
Wave Height,velocity,0.2,0.02,0.074567728744712,0.6997785491559342
Wave Height,velocity,0.2,0.05,0.07405635202551575,0.6949795501163308
Wave Height,velocity,0.2,0.1,0.07339991366685684,0.6888192245979651
Wave Height,velocity,0.2,0.2,0.07257796811820329,0.6811057019628431
Wave Height,velocity,0.5,0.01,0.07488397048193247,0.7027463099792836
Wave Height,velocity,0.5,0.02,0.07480136003661661,0.7019710548046734
Wave Height,velocity,0.5,0.05,0.07456724206658359,0.6997739819400576
Wave Height,velocity,0.5,0.1,0.07421835866033662,0.6964998963810898
Wave Height,velocity,0.5,0.2,0.07364911623004387,0.6911578583615061
Wave Height,velocity,1.0,0.01,0.07492549102216137,0.7031359582076883
Wave Height,velocity,1.0,0.02,0.07488347234819288,0.7027416352585774
Wave Height,velocity,1.0,0.05,0.07476129177127383,0.7015950354051184
Wave Height,velocity,1.0,0.1,0.0745696455731826,0.699796537573561
Wave Height,velocity,1.0,0.2,0.07422578587470316,0.6965695968451
Wave Height,velocity,2.0,0.01,0.0749467266958228,0.7033352437318058
Wave Height,velocity,2.0,0.02,0.07492563083826616,0.7031372703076089
Wave Height,velocity,2.0,0.05,0.07486345643127686,0.7025537965039939
Wave Height,velocity,2.0,0.1,0.07476329091680986,0.7016137963247053
Wave Height,velocity,2.0,0.2,0.07457446901293265,0.6998418029950382
Wave Height,acceleration,0.01,0.01,0.18502798065147072,1.7363893742401328
Wave Height,acceleration,0.01,0.02,0.174366481871948,1.6363368679702373
Wave Height,acceleration,0.01,0.05,0.15763241481144813,1.4792965320741929
Wave Height,acceleration,0.01,0.1,0.14538818206637066,1.3643909077496017
Wave Height,acceleration,0.01,0.2,0.13412361323795713,1.2586789092173494
Wave Height,acceleration,0.05,0.01,0.19821780673241102,1.8601688900429936
Wave Height,acceleration,0.05,0.02,0.19430425934869983,1.8234423253972838
Wave Height,acceleration,0.05,0.05,0.18501955773311884,1.736310329622801
Wave Height,acceleration,0.05,0.1,0.17436196594241202,1.636294488368874
Wave Height,acceleration,0.05,0.2,0.16177996330243258,1.518219072889556
Wave Height,acceleration,0.1,0.01,0.20041014638726853,1.880742833875794
Wave Height,acceleration,0.1,0.02,0.19821463782932985,1.8601391515698245
Wave Height,acceleration,0.1,0.05,0.1925297521030284,1.8067895169136847
Wave Height,acceleration,0.1,0.1,0.18502063470682545,1.7363204364493139
Wave Height,acceleration,0.1,0.2,0.17438366958551368,1.6364981655377613
Wave Height,acceleration,0.2,0.01,0.20158341796201582,1.8917533647604534
Wave Height,acceleration,0.2,0.02,0.2004068990075609,1.8807123589411459
Wave Height,acceleration,0.2,0.05,0.19717936203015965,1.8504236377823544
Wave Height,acceleration,0.2,0.1,0.1925308240407474,1.8067995764801275
Wave Height,acceleration,0.2,0.2,0.18503909740153335,1.7364936990380195
Wave Height,acceleration,0.5,0.01,0.2023155238082789,1.8986237894810523
Wave Height,acceleration,0.5,0.02,0.20182194623094896,1.8939918259389903
Wave Height,acceleration,0.5,0.05,0.20040322649814174,1.8806778943898397
Wave Height,acceleration,0.5,0.1,0.19821140408249027,1.8601088045724057
Wave Height,acceleration,0.5,0.2,0.19431396720673938,1.82353342849146
Wave Height,acceleration,1.0,0.01,0.20256396280835237,1.9009552576101185
Wave Height,acceleration,1.0,0.02,0.20231298333825443,1.8985999485185092
Wave Height,acceleration,1.0,0.05,0.2015775824379033,1.8916986014645107
Wave Height,acceleration,1.0,0.1,0.20040437901070648,1.8806887101084357
Wave Height,acceleration,1.0,0.2,0.19822056916408212,1.860194813997759
Wave Height,acceleration,2.0,0.01,0.20268896681690962,1.9021283538706515
Wave Height,acceleration,2.0,0.02,0.202562508722601,1.9009416117872595
Wave Height,acceleration,2.0,0.05,0.20218796180803839,1.89742668782651
Wave Height,acceleration,2.0,0.1,0.20157872338303673,1.8917093086289045
Wave Height,acceleration,2.0,0.2,0.20040983155920428,1.880739879381541
Wave Period,position,0.01,0.01,1.461189086150464,0.8313891177127699
Wave Period,position,0.01,0.02,1.4733330968627143,0.8382988314844156
Wave Period,position,0.01,0.05,1.504315489447746,0.8559272303549282
