# Logger: PatternLogger | Started: Tue Dec 30 12:10:48 EST 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2025-12-30 12:11:49.365,60.963,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7ca86c6a-82fb-4540-afe2-58ec7bf4790d]]
2025-12-30 12:11:50.256,61.854,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[3b533b96-26e7-4bad-b2cc-7f71f8f7e007]]
2025-12-30 12:11:51.146,62.744,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[c46820d5-865f-40e7-8151-57feba764b69]]
2025-12-30 12:11:52.049,63.647,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b0852e32-4db3-41d9-85d8-939eb465f0f5]]
2025-12-30 12:11:52.937,64.535,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[3677e8a0-6c7a-4e9a-9a8d-372786c4fdfd]]
2025-12-30 12:11:53.637,65.235,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[a7b45525-3b0d-4ebe-9ce5-454a29ee5da3]]
2025-12-30 12:11:53.826,65.424,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[5ae05d36-7865-4763-8817-f33278a8fbb9]]
2025-12-30 12:11:53.831,65.429,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[a7b45525-3b0d-4ebe-9ce5-454a29ee5da3];[5ae05d36-7865-4763-8817-f33278a8fbb9]]
2025-12-30 12:11:54.638,66.236,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[fc4b09d8-fe95-4751-9b35-9b9f0c6f0083]]
2025-12-30 12:11:54.717,66.315,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7521effa-8910-4f63-a443-8fe54be34e17]]
2025-12-30 12:11:54.731,66.329,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[a7b45525-3b0d-4ebe-9ce5-454a29ee5da3];[5ae05d36-7865-4763-8817-f33278a8fbb9];[7521effa-8910-4f63-a443-8fe54be34e17]]
2025-12-30 12:11:54.732,66.330,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[fc4b09d8-fe95-4751-9b35-9b9f0c6f0083];[7521effa-8910-4f63-a443-8fe54be34e17]]
2025-12-30 12:11:55.607,67.205,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7a997fad-3c3a-4014-92b3-487c94ccb595]]
