# Started Tue Oct 21 20:05:55 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Montrose_Beach_Turbidity,MontroseBeach201507050200_Turbidity,None,1761091626.86549,1436061600,float,None,0.9733333333333332,source,0.9735018913116368,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.9733333333333332},1761091626.867489
Calumet_Beach_Water_Temperature,CalumetBeach201507050300_Water_Temperature,,,1436065200,,,20.901492549748376,missing,20.901492549748376,0.9512294249739741,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 20.6},1761091626.9235668
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201507050300_Water_Temperature,,,1436065200,,,20.900995061397346,missing,20.900995061397346,0.8608147743719499,KalmanFilter,0.8608147742287183,True,reconstructed,,{'ground_truth': 20.4},1761091626.9245684
63rd_Street_Beach_Turbidity,63rdStreetBeach201507050300_Turbidity,,,1436065200,,,1.376849092775282,missing,1.376849092775282,0.6065306627302732,KalmanFilter,0.6065306597126334,True,reconstructed,,{'ground_truth': 1.34},1761091626.9265685
Calumet_Beach_Turbidity,CalumetBeach201507050300_Turbidity,None,1761091626.9245684,1436065200,float,None,1.43,source,1.432759771669135,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.43},1761091626.9265685
63rd_Street_Beach_Wave_Height,63rdStreetBeach201507050300_Wave_Height,,,1436065200,,,0.10170455975005871,missing,0.10170455975005871,0.9048374187117866,KalmanFilter,0.9048374184861385,True,reconstructed,,{'ground_truth': 0.087},1761091626.9275692
Calumet_Beach_Wave_Height,CalumetBeach201507050300_Wave_Height,None,1761091626.9245684,1436065200,float,None,0.091,source,0.09105306938945615,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.091},1761091626.9275692
Montrose_Beach_Water_Temperature,MontroseBeach201507050300_Water_Temperature,,,1436065200,,,18.801490135387162,missing,18.801490135387162,0.8326398608830397,KalmanFilter,0.8326398607790889,True,reconstructed,,{'ground_truth': 18.3},1761091626.9285662
Calumet_Beach_Wave_Period,CalumetBeach201507050300_Wave_Period,None,1761091626.9245684,1436065200,float,None,3.0,source,2.9971065143954667,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091626.9295685
63rd_Street_Beach_Wave_Period,63rdStreetBeach201507050300_Wave_Period,None,1761091626.9285662,1436065200,float,None,6.0,source,5.796615580404141,0.9178492711118117,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 6.0},1761091626.9305665
